case_id,method,method_key,Precision,Recall,F1,AUC_PR,NDCG15,NDCG25,matching_policy,legacy_semantic_matches,source_findings_relative_path
Mixed_medium_19,GES,GES,0.6285714285714286,0.7857142857142857,0.6984126984126985,0.6347769937607571,0.5090606526565716,0.6630376217052073,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_19/GES_Analysis/findings.json
Mixed_medium_19,GOLEM,GOLEM,0.6571428571428571,0.8214285714285714,0.73015873015873,0.6215326480003512,0.727329844310522,0.8733415492968014,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_19/GOLEM_Analysis/findings.json
Mixed_medium_19,PC-VGAE,PCVGAE,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.7842122976112219,0.7885592597294638,0.8470846903276443,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_19/PCVGAE_Analysis/1_Final_Results/pc_pcvgae_audit/final_aggregated_uncertainty_map.json
Mixed_medium_19,PC-GATE,PCGATE,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.7842122976112219,0.7885592597294638,0.8470846903276443,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_19/PCGATE_Analysis/1_Final_Results/pc_pcgate_audit/final_aggregated_uncertainty_map.json
Mixed_medium_20,CommonNeighbors,CommonNeighbors,0.8285714285714286,0.9666666666666667,0.8923076923076922,0.7436600886462648,0.7325208023040561,0.8534539679837397,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_20/CommonNeighbors_Analysis/findings.json
Mixed_medium_20,Peter-Clark,Peter-Clark,0.8285714285714286,0.9666666666666667,0.8923076923076922,0.912121315987747,0.7134286212326993,0.7748142409552166,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_20/Peter-Clark_Analysis/findings.json
Mixed_medium_20,GAT,GAT,0.8285714285714286,0.9666666666666667,0.8923076923076922,0.8731007743096846,0.75746672125372,0.8540380122919907,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_20/GAT_Analysis/findings.json
Mixed_medium_20,CDHC,CDHC,0.45714285714285713,0.5333333333333333,0.4923076923076923,0.47584518939393944,0.8430759170078563,0.8430759170078563,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_20/CDHC_Analysis/findings.json
Mixed_medium_20,IF-PDAG,IF-PDAG,0.6857142857142857,0.8,0.7384615384615385,0.7666666666666667,0.8626199664389336,0.9338552717828114,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_20/IF-PDAG_Analysis/findings.json
Mixed_medium_20,VGAE,VGAE,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.7917997142263979,0.70009303801337,0.7919558307438963,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_20/VGAE_Analysis/findings.json
Mixed_medium_20,GATE,GATE,0.8285714285714286,0.9666666666666667,0.8923076923076922,0.926519951838147,0.7175400737265237,0.8981189918757814,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_20/GATE_Analysis/findings.json
Mixed_medium_20,DistMult,DistMult,0.8285714285714286,0.9666666666666667,0.8923076923076922,0.8872760863008504,0.6165994446389361,0.7128267273818419,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_20/DistMult_Analysis/findings.json
Mixed_medium_20,NOTEARS,NOTEARS,0.8285714285714286,0.9666666666666667,0.8923076923076922,0.7357373401541455,0.5859929498491885,0.7837349739632447,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_20/NOTEARS_Analysis/findings.json
Mixed_medium_20,GES,GES,0.8571428571428571,1.0,0.923076923076923,0.9181478607633913,0.42761602793501025,0.6283315868137361,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_20/GES_Analysis/findings.json
Mixed_medium_20,GOLEM,GOLEM,0.8285714285714286,0.9666666666666667,0.8923076923076922,0.8805990282994521,0.8076729939455273,0.8164077015276414,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_20/GOLEM_Analysis/findings.json
Mixed_medium_20,PC-VGAE,PCVGAE,1,0.9666666666666667,0.983050847457627,0.9297500541142075,0.6379531960795324,0.8099287058417556,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_20/PCVGAE_Analysis/1_Final_Results/pc_pcvgae_audit/final_aggregated_uncertainty_map.json
Mixed_medium_20,PC-GATE,PCGATE,1,0.9666666666666667,0.983050847457627,0.9333333333333333,0.708447181285427,0.854199653192332,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_20/PCGATE_Analysis/1_Final_Results/pc_pcgate_audit/final_aggregated_uncertainty_map.json
Mixed_medium_21,CommonNeighbors,CommonNeighbors,0.7142857142857143,0.8620689655172413,0.7812500000000001,0.7553468273191913,0.5713355498337382,0.7288863087388259,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_21/CommonNeighbors_Analysis/findings.json
Mixed_medium_21,Peter-Clark,Peter-Clark,0.7142857142857143,0.8620689655172413,0.7812500000000001,0.8261991503472117,0.7346089692300664,0.8147113805052876,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_21/Peter-Clark_Analysis/findings.json
Mixed_medium_21,GAT,GAT,0.7142857142857143,0.8620689655172413,0.7812500000000001,0.627929904277542,0.611037332151319,0.7827046899437284,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_21/GAT_Analysis/findings.json
Mixed_medium_21,CDHC,CDHC,0.34285714285714286,0.41379310344827586,0.375,0.35783755690083,0.7703689102037632,0.7703689102037632,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_21/CDHC_Analysis/findings.json
Mixed_medium_21,IF-PDAG,IF-PDAG,0.37142857142857144,0.4482758620689655,0.40625,0.4482758620689655,0.8854598815714875,0.8854598815714875,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_21/IF-PDAG_Analysis/findings.json
Mixed_medium_21,VGAE,VGAE,0.6857142857142857,0.8275862068965517,0.75,0.4272725425692462,0.38436436939762336,0.5842474324151158,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_21/VGAE_Analysis/findings.json
Mixed_medium_21,GATE,GATE,0.8285714285714286,1.0,0.90625,0.8952335267236521,0.6899067693863984,0.8205626353543128,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_21/GATE_Analysis/findings.json
Mixed_medium_21,DistMult,DistMult,0.7428571428571429,0.896551724137931,0.8125,0.8521172504657796,0.7291211945143276,0.8803953245822207,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_21/DistMult_Analysis/findings.json
Mixed_medium_21,NOTEARS,NOTEARS,0.6571428571428571,0.7931034482758621,0.71875,0.4563339009438378,0.5818033399169976,0.7225410261950961,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_21/NOTEARS_Analysis/findings.json
Mixed_medium_21,GES,GES,0.6,0.7241379310344828,0.65625,0.5562623201197038,0.39126011688924156,0.575080119609663,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_21/GES_Analysis/findings.json
Mixed_medium_21,GOLEM,GOLEM,0.5714285714285714,0.6896551724137931,0.625,0.523031887872419,0.764443832011602,0.8649026768565015,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_21/GOLEM_Analysis/findings.json
Mixed_medium_21,PC-VGAE,PCVGAE,0.9615384615384616,0.8620689655172413,0.9090909090909091,0.8586254853265557,0.7070628286907291,0.8786098502965696,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_21/PCVGAE_Analysis/1_Final_Results/pc_pcvgae_audit/final_aggregated_uncertainty_map.json
Mixed_medium_21,PC-GATE,PCGATE,0.9615384615384616,0.8620689655172413,0.9090909090909091,0.8394275671108293,0.6460283853609646,0.8772216549628242,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_21/PCGATE_Analysis/1_Final_Results/pc_pcgate_audit/final_aggregated_uncertainty_map.json
Mixed_medium_22,CommonNeighbors,CommonNeighbors,0.6,0.875,0.711864406779661,0.7488576990345743,0.7720482544742336,0.8557312297873987,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_22/CommonNeighbors_Analysis/findings.json
Mixed_medium_22,Peter-Clark,Peter-Clark,0.6285714285714286,0.9166666666666666,0.7457627118644068,0.8041122397776697,0.6458614195643846,0.6853366756382714,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_22/Peter-Clark_Analysis/findings.json
Mixed_medium_22,GAT,GAT,0.5428571428571428,0.7916666666666666,0.6440677966101694,0.45131264939982507,0.44187221243140334,0.6342338263760837,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_22/GAT_Analysis/findings.json
Mixed_medium_22,CDHC,CDHC,0.5142857142857142,0.75,0.6101694915254237,0.6418141609105763,0.7215860175477895,0.7862943563893489,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_22/CDHC_Analysis/findings.json
Mixed_medium_22,IF-PDAG,IF-PDAG,0.4,0.5833333333333334,0.4745762711864407,0.49449687995811176,0.7744817525547457,0.8352472147247142,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_22/IF-PDAG_Analysis/findings.json
Mixed_medium_22,VGAE,VGAE,0.45714285714285713,0.6666666666666666,0.5423728813559322,0.6075582110231605,0.6965307219812931,0.7532515609578421,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_22/VGAE_Analysis/findings.json
Mixed_medium_22,GATE,GATE,0.6285714285714286,0.9166666666666666,0.7457627118644068,0.8308595691340531,0.6441720745611632,0.7840137379165767,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_22/GATE_Analysis/findings.json
Mixed_medium_22,DistMult,DistMult,0.4857142857142857,0.7083333333333334,0.576271186440678,0.37532614332849756,0.5676063489490196,0.7209331789644088,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_22/DistMult_Analysis/findings.json
Mixed_medium_22,NOTEARS,NOTEARS,0.6857142857142857,1.0,0.8135593220338984,0.830995736874506,0.5693852983715684,0.7247010553406842,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_22/NOTEARS_Analysis/findings.json
Mixed_medium_22,GES,GES,0.6857142857142857,1.0,0.8135593220338984,0.8612710595436163,0.4841146003044866,0.6546976578412753,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_22/GES_Analysis/findings.json
Mixed_medium_22,GOLEM,GOLEM,0.6285714285714286,0.9166666666666666,0.7457627118644068,0.8489828164080581,0.7400025347144878,0.8264722716301253,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_22/GOLEM_Analysis/findings.json
Mixed_medium_22,PC-VGAE,PCVGAE,0.8461538461538461,0.9166666666666666,0.8799999999999999,0.9040417984439235,0.651499578352788,0.8440955335213387,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_22/PCVGAE_Analysis/1_Final_Results/pc_pcvgae_audit/final_aggregated_uncertainty_map.json
Mixed_medium_22,PC-GATE,PCGATE,0.88,0.9166666666666666,0.8979591836734694,0.900033346569962,0.6914971216780739,0.8420910931569148,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_22/PCGATE_Analysis/1_Final_Results/pc_pcgate_audit/final_aggregated_uncertainty_map.json
Mixed_medium_23,CommonNeighbors,CommonNeighbors,0.42857142857142855,0.6818181818181818,0.5263157894736843,0.31620900029410137,0.7071432720187637,0.8570661415934623,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_23/CommonNeighbors_Analysis/findings.json
Mixed_medium_23,Peter-Clark,Peter-Clark,0.5714285714285714,0.9090909090909091,0.7017543859649122,0.6155042105862709,0.5597160742067009,0.7369430177279922,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_23/Peter-Clark_Analysis/findings.json
Mixed_medium_23,GAT,GAT,0.45714285714285713,0.7272727272727273,0.5614035087719298,0.43104788772449293,0.6267461721435241,0.6267461721435241,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_23/GAT_Analysis/findings.json
Mixed_medium_23,CDHC,CDHC,0.42857142857142855,0.6818181818181818,0.5263157894736843,0.5543122901747317,0.8893459311349893,0.9421266804822687,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_23/CDHC_Analysis/findings.json
Mixed_medium_23,IF-PDAG,IF-PDAG,0.22857142857142856,0.36363636363636365,0.2807017543859649,0.09854239676678253,0.3936118447507049,0.5160166270002773,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_23/IF-PDAG_Analysis/findings.json
Mixed_medium_23,VGAE,VGAE,0.34285714285714286,0.5454545454545454,0.42105263157894735,0.2614169874767082,0.5633748007852422,0.6185426898852887,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_23/VGAE_Analysis/findings.json
Mixed_medium_23,GATE,GATE,0.6,0.9545454545454546,0.7368421052631579,0.8266059763952862,0.6296295868829581,0.8662644722726142,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_23/GATE_Analysis/findings.json
Mixed_medium_23,DistMult,DistMult,0.42857142857142855,0.6818181818181818,0.5263157894736843,0.4177609580842151,0.5471205311517918,0.6118288699933513,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_23/DistMult_Analysis/findings.json
Mixed_medium_23,NOTEARS,NOTEARS,0.5714285714285714,0.9090909090909091,0.7017543859649122,0.6417403557082387,0.6348858759410126,0.7550528608894767,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_23/NOTEARS_Analysis/findings.json
Mixed_medium_23,GES,GES,0.6285714285714286,1.0,0.7719298245614035,0.7315668937146961,0.5214354573484501,0.641944018803146,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_23/GES_Analysis/findings.json
Mixed_medium_23,GOLEM,GOLEM,0.5714285714285714,0.9090909090909091,0.7017543859649122,0.8375782540342822,0.7636887567900627,0.9157294639713516,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_23/GOLEM_Analysis/findings.json
Mixed_medium_23,PC-VGAE,PCVGAE,0.7692307692307693,0.9090909090909091,0.8333333333333333,0.8809170387330281,0.7775541541447762,0.8837745457011095,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_23/PCVGAE_Analysis/1_Final_Results/pc_pcvgae_audit/final_aggregated_uncertainty_map.json
Mixed_medium_23,PC-GATE,PCGATE,0.7142857142857143,0.9090909090909091,0.8,0.8890797148451524,0.7775541541447762,0.8872703907587822,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_23/PCGATE_Analysis/1_Final_Results/pc_pcgate_audit/final_aggregated_uncertainty_map.json
Mixed_medium_24,CommonNeighbors,CommonNeighbors,0.6285714285714286,0.8148148148148148,0.7096774193548386,0.5591001288381847,0.571512554258976,0.7468789055289661,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_24/CommonNeighbors_Analysis/findings.json
Mixed_medium_24,Peter-Clark,Peter-Clark,0.6571428571428571,0.8518518518518519,0.7419354838709677,0.7495004187292403,0.6170938437839377,0.7778837616122362,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_24/Peter-Clark_Analysis/findings.json
Mixed_medium_24,GAT,GAT,0.7142857142857143,0.9259259259259259,0.8064516129032259,0.9188585913716643,0.8684904045761521,0.9211979174421775,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_24/GAT_Analysis/findings.json
Mixed_medium_24,CDHC,CDHC,0.2857142857142857,0.37037037037037035,0.3225806451612903,0.23292622053872053,0.9196137949996374,0.9196137949996374,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_24/CDHC_Analysis/findings.json
Mixed_medium_24,IF-PDAG,IF-PDAG,0.45714285714285713,0.5925925925925926,0.5161290322580645,0.5925925925925926,1.0,1.0,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_24/IF-PDAG_Analysis/findings.json
Mixed_medium_24,VGAE,VGAE,0.5142857142857142,0.6666666666666666,0.5806451612903226,0.6392136169677481,0.8182951523199773,0.920215063034388,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_24/VGAE_Analysis/findings.json
Mixed_medium_24,GATE,GATE,0.6571428571428571,0.8518518518518519,0.7419354838709677,0.7439069673166002,0.6368727817371344,0.7328974458674143,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_24/GATE_Analysis/findings.json
Mixed_medium_24,DistMult,DistMult,0.7428571428571429,0.9629629629629629,0.8387096774193549,0.8497512131891584,0.6349298578126651,0.8053277832377791,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_24/DistMult_Analysis/findings.json
Mixed_medium_24,NOTEARS,NOTEARS,0.7428571428571429,0.9629629629629629,0.8387096774193549,0.6207942131587474,0.49915209099690316,0.6491448949022344,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_24/NOTEARS_Analysis/findings.json
Mixed_medium_24,GES,GES,0.6857142857142857,0.8888888888888888,0.7741935483870968,0.756982364861596,0.4648946171512268,0.6599998896817278,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_24/GES_Analysis/findings.json
Mixed_medium_24,GOLEM,GOLEM,0.6857142857142857,0.8888888888888888,0.7741935483870968,0.6213209558308077,0.7155416390060547,0.8572299671543304,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_24/GOLEM_Analysis/findings.json
Mixed_medium_24,PC-VGAE,PCVGAE,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.8024161503090229,0.8089810518621173,0.8544140001870956,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_24/PCVGAE_Analysis/1_Final_Results/pc_pcvgae_audit/final_aggregated_uncertainty_map.json
Mixed_medium_24,PC-GATE,PCGATE,0.84,0.7777777777777778,0.8076923076923077,0.7509843123821232,0.7342140458918618,0.894285651434359,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_24/PCGATE_Analysis/1_Final_Results/pc_pcgate_audit/final_aggregated_uncertainty_map.json
Mixed_medium_25,CommonNeighbors,CommonNeighbors,0.5714285714285714,0.8,0.6666666666666666,0.402905271110897,0.4441849944218394,0.5369289299413958,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_25/CommonNeighbors_Analysis/findings.json
Mixed_medium_25,Peter-Clark,Peter-Clark,1,0.92,0.9583333333333334,0.92,0.9322029311329567,0.9778859800504678,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_25/Peter-Clark_Analysis/findings.json
Mixed_medium_25,GAT,GAT,0.6,0.84,0.7000000000000001,0.8182299409891339,0.8648803221615196,0.9598345039558275,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_25/GAT_Analysis/findings.json
Mixed_medium_25,CDHC,CDHC,0.2857142857142857,0.4,0.3333333333333333,0.32468407575757574,0.9398361751203294,0.9398361751203294,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_25/CDHC_Analysis/findings.json
Mixed_medium_25,IF-PDAG,IF-PDAG,0.6857142857142857,0.96,0.7999999999999999,0.5954594365507344,0.621747987070946,0.7498447847614261,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_25/IF-PDAG_Analysis/findings.json
Mixed_medium_25,VGAE,VGAE,0.5714285714285714,0.8,0.6666666666666666,0.7401533629653803,0.6623543278181586,0.7746923202052796,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_25/VGAE_Analysis/findings.json
Mixed_medium_25,GATE,GATE,0.7142857142857143,1.0,0.8333333333333333,0.9561747245648916,0.6953234223733802,0.833257830079834,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_25/GATE_Analysis/findings.json
Mixed_medium_25,DistMult,DistMult,0.5142857142857142,0.72,0.6,0.6312582711084185,0.7205845756056627,0.794616420114431,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_25/DistMult_Analysis/findings.json
Mixed_medium_25,NOTEARS,NOTEARS,0.6571428571428571,0.92,0.7666666666666667,0.8231277750725857,0.6250677670941928,0.7505104554458233,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_25/NOTEARS_Analysis/findings.json
Mixed_medium_25,GES,GES,0.7142857142857143,1.0,0.8333333333333333,0.9487697425817785,0.6185933486629382,0.8261182206564225,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_25/GES_Analysis/findings.json
Mixed_medium_25,GOLEM,GOLEM,0.6571428571428571,0.92,0.7666666666666667,0.88309912654879,0.7677807618308466,0.8534978551057694,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_25/GOLEM_Analysis/findings.json
Mixed_medium_25,PC-VGAE,PCVGAE,0.9166666666666666,0.88,0.8979591836734694,0.8797252115141084,0.8126546641925939,0.8721996309951486,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_25/PCVGAE_Analysis/1_Final_Results/pc_pcvgae_audit/final_aggregated_uncertainty_map.json
Mixed_medium_25,PC-GATE,PCGATE,0.88,0.88,0.88,0.8777526379693319,0.8141617030911454,0.8726871336893259,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_25/PCGATE_Analysis/1_Final_Results/pc_pcgate_audit/final_aggregated_uncertainty_map.json
